"关键词","近一天整体指数","近一天PC指数","近一天移动指数","7天均指数","7天PC均指数","7天移动均指数","30天均指数","30天PC均指数","30天移动均指数","7天整体同比","7天整体环比","7天PC同比","7天PC环比","7天移动同比","7天移动环比","30天整体同比","30天整体环比","30天PC同比","30天PC环比","30天移动同比","30天移动环比"
"天降恶邻","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"超级幼儿园","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"难忘金银滩","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"铁道飞虎","20363","7357","13006","13750","5417","8333","4838","1910","2928","-","350%↑","-","388%↑","-","329%↑","-","220%↑","-","213%↑","-","224%↑"
"悟空圣诞奇遇记","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"傻儿夫妻小神郎","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"摆渡人","40029","6947","33082","28663","6628","22035","15688","3805","11883","749%↑","116%↑","614%↑","95%↑","800%↑","123%↑","367%↑","19%↑","311%↑","7%↑","388%↑","23%↑"
"功夫四侠","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"五女闹京城","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"咸鱼传奇","4288","2223","2065","4244","2001","2243","4250","2391","1859","-","-3%↓","-","-30%↓","-","45%↑","-","3445%↑","-","3409%↑","-","3492%↑"
"少年","15851","1761","14090","11736","1812","9924","4693","985","3708","473%↑","204%↑","154%↑","95%↑","644%↑","239%↑","118%↑","171%↑","40%↑","75%↑","155%↑","218%↑"
"罗曼蒂克消亡史","183635","25024","158611","83474","13894","69580","21646","4021","17625","24005%↑","1788%↑","7329%↑","977%↑","43582%↑","2122%↑","5756%↑","2580%↑","1907%↑","981%↑","10312%↑","3945%↑"
"长城","448304","84381","363923","269757","59176","210581","88513","20949","67564","3030%↑","425%↑","2106%↑","334%↑","3447%↑","458%↑","745%↑","326%↑","547%↑","255%↑","833%↑","354%↑"
"流金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"先锋之那时青春","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"球舞青春","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
