dname   	dtheme	dpaper 	dlove 	dacquitime	采集时间               
蝙蝠侠大战超人 	46977 	1658471	156642	2016-11-24	2016-11-24 21:22:07
荒野猎人    	871   	338868 	48500 	2016-11-24	2016-11-24 21:22:16
疯狂动物城   	2346  	230965 	81022 	2016-11-24	2016-11-24 21:22:26
缘份      	26302 	458524 	347621	2016-11-24	2016-11-24 21:22:34
神战      	1859  	41538  	2196  	2016-11-24	2016-11-24 21:22:43
我的特工爷爷  	301   	32028  	18053 	2016-11-24	2016-11-24 21:22:51
火锅英雄    	606   	55565  	13154 	2016-11-24	2016-11-24 21:23:00
睡在我上铺的兄弟	1774  	147430 	40539 	2016-11-24	2016-11-24 21:23:10
灵偶契约    	279   	16588  	1597  	2016-11-24	2016-11-24 21:23:18
太空熊猫英雄归来	48    	229    	1783  	2016-11-24	2016-11-24 21:23:33
不速之客    	230   	10138  	11461 	2016-11-24	2016-11-24 21:23:47
摩尔庄园    	454109	9081403	98594 	2016-11-24	2016-11-24 21:24:17
轩辕大帝    	335   	5119   	2716  	2016-11-24	2016-11-24 21:24:35
叶问3     	9638  	218647 	28749 	2016-11-24	2016-11-24 21:24:52
女汉子真爱公式 	332   	74955  	16463 	2016-11-24	2016-11-24 21:25:05
恐怖将映    	135   	3196   	2390  	2016-11-24	2016-11-24 21:25:17
伦敦陷落    	288   	48934  	10200 	2016-11-24	2016-11-24 21:25:29
小角色     	223   	624    	1769  	2016-11-24	2016-11-24 21:25:41
我的老婆是明星 	      	       	      	2016-11-24	2016-11-24 21:25:50
午夜寻访录   	57    	276    	58    	2016-11-24	2016-11-24 21:26:01
小角色     	223   	624    	1769  	2016-11-24	2016-11-24 21:26:11
隔壁惊魂    	51    	1668   	386   	2016-11-24	2016-11-24 21:26:22
垫底辣妹    	583   	45294  	15829 	2016-11-24	2016-11-24 21:26:35
奇幻森林    	1381  	80808  	49184 	2016-11-24	2016-11-24 21:26:46
废柴特工    	165   	13468  	5508  	2016-11-24	2016-11-24 21:26:59
纽约纽约    	765   	18136  	8635  	2016-11-24	2016-11-24 21:27:10
冰河追凶    	373   	41392  	11355 	2016-11-24	2016-11-24 21:27:20
不朽的时光   	131   	2209   	4681  	2016-11-24	2016-11-24 21:27:29
猫脸老太太   	835   	44316  	8052  	2016-11-24	2016-11-24 21:27:38
情花谷     	2     	2      	17    	2016-11-24	2016-11-24 21:27:46
我的新野蛮女友 	1174  	81781  	40297 	2016-11-24	2016-11-24 21:27:56
猎神      	1967  	24839  	14886 	2016-11-24	2016-11-24 21:28:07
谁的青春不迷茫 	2025  	103686 	40339 	2016-11-24	2016-11-24 21:28:15
刑警兄弟    	474   	36664  	5217  	2016-11-24	2016-11-24 21:28:24
记忆碎片    	1814  	40041  	7221  	2016-11-24	2016-11-24 21:28:32
失眠男女    	161   	10186  	13992 	2016-11-24	2016-11-24 21:28:41
我的1000万 	16    	340    	24    	2016-11-24	2016-11-24 21:28:49
