dname     	dfen	dacquitime	dshow	采集时间               
奇异博士      	8.0 	2016-11-13	True 	2016-11-13 21:34:57
比利·林恩的中场战事	8.5 	2016-11-13	True 	2016-11-13 21:34:58
航海王之黄金城   	8.2 	2016-11-13	True 	2016-11-13 21:34:58
外公芳龄38    	4.7 	2016-11-13	True 	2016-11-13 21:34:59
驴得水       	8.4 	2016-11-13	True 	2016-11-13 21:34:59
魔发精灵      	7.6 	2016-11-13	True 	2016-11-13 21:34:59
捉迷藏       	5.8 	2016-11-13	True 	2016-11-13 21:34:59
湄公河行动     	8.2 	2016-11-13	True 	2016-11-13 21:34:59
邻家大贱谍     	6.3 	2016-11-13	True 	2016-11-13 21:34:59
聊斋新编之画皮新娘 	    	2016-11-13	True 	2016-11-13 21:34:59
贫穷富爸爸     	5.0 	2016-11-13	True 	2016-11-13 21:35:00
但丁密码      	6.4 	2016-11-13	True 	2016-11-13 21:35:00
深海浩劫      	    	2016-11-13	     	2016-11-13 21:35:00
红颜容       	    	2016-11-13	     	2016-11-13 21:35:00
我不是潘金莲    	    	2016-11-13	     	2016-11-13 21:35:00
勇士之门      	    	2016-11-13	     	2016-11-13 21:35:00
阿拉丁与神灯    	    	2016-11-13	     	2016-11-13 21:35:00
我是处女座     	    	2016-11-13	     	2016-11-13 21:35:00
夜闯寡妇村     	    	2016-11-13	     	2016-11-13 21:35:00
辣警霸王花     	    	2016-11-13	     	2016-11-13 21:35:00
