wname       	wacquitime	wlove  	wfen	采集时间               
神奇动物在哪里     	2016-11-24	666943 	7.0 	2016-11-24 21:21:23
海洋奇缘        	2016-11-24	132227 	7.0 	2016-11-24 21:21:23
冲天火         	2016-11-24	85760  	6.9 	2016-11-24 21:21:23
我不是潘金莲      	2016-11-24	1522223	7.8 	2016-11-24 21:21:23
名侦探柯南:纯黑的恶梦 	2016-11-24	95101  	7.0 	2016-11-24 21:21:23
最萌身高差       	2016-11-24	68684  	7.0 	2016-11-24 21:21:23
你的名字。       	2016-11-24	136817 	7.0 	2016-11-24 21:21:23
奇异博士        	2016-11-24	4284398	8.8 	2016-11-24 21:21:23
我是处女座       	2016-11-24	61595  	7.0 	2016-11-24 21:21:23
深海浩劫        	2016-11-24	847861 	8.3 	2016-11-24 21:21:23
佩小姐的奇幻城堡    	2016-11-24	64583  	7.0 	2016-11-24 21:21:24
夏威夷之恋       	2016-11-24	5496   	7.0 	2016-11-24 21:21:24
比利·林恩的中场战事  	2016-11-24	2212194	8.5 	2016-11-24 21:21:24
三少爷的剑       	2016-11-24	54012  	7.0 	2016-11-24 21:21:24
间谍同盟        	2016-11-24	53988  	7.0 	2016-11-24 21:21:24
勇士之门        	2016-11-24	402995 	6.2 	2016-11-24 21:21:24
怨灵地下室       	2016-11-24	7916   	7.0 	2016-11-24 21:21:24
外公芳龄38      	2016-11-24	268771 	8.5 	2016-11-24 21:21:24
阿拉丁与神灯      	2016-11-24	154432 	7.5 	2016-11-24 21:21:24
白云桥         	2016-11-24	19808  	6.6 	2016-11-24 21:21:24
28岁未成年      	2016-11-24	67291  	7.0 	2016-11-24 21:21:25
湄公河行动       	2016-11-24	5676033	9.2 	2016-11-24 21:21:25
航海王之黄金城     	2016-11-24	958928 	9.0 	2016-11-24 21:21:25
捉迷藏         	2016-11-24	509407 	8.1 	2016-11-24 21:21:25
越囧          	2016-11-24	8580   	7.0 	2016-11-24 21:21:25
聊斋新编之画皮新娘   	2016-11-24	38894  	6.0 	2016-11-24 21:21:25
驴得水         	2016-11-24	1100397	8.5 	2016-11-24 21:21:26
勇士（2016）    	2016-11-24	157165 	8.8 	2016-11-24 21:21:26
超级快递        	2016-11-24	6510   	7.0 	2016-11-24 21:21:26
育婴室         	2016-11-24	126146 	7.1 	2016-11-24 21:21:26
食人岛         	2016-11-24	31780  	7.0 	2016-11-24 21:21:27
魔发精灵        	2016-11-24	595404 	8.9 	2016-11-24 21:21:27
蜡笔小新:梦境世界大突击	2016-11-24	162440 	8.5 	2016-11-24 21:21:27
贫穷富爸爸       	2016-11-24	119323 	8.4 	2016-11-24 21:21:27
夺路而逃        	2016-11-24	39002  	7.8 	2016-11-24 21:21:27
狱中惊魂        	2016-11-24	4536   	7.0 	2016-11-24 21:21:27
