m_gold_name	m_gold_rate	m_gold_times	m_gold_acquitime	m_gold_type
奇异博士       	27.1       	13466       	2016-11-13      	0          
航海王之黄金城    	22.5       	11180       	2016-11-13      	0          
比利·林恩的中场战事 	21.9       	10884       	2016-11-13      	0          
外公芳龄38     	14.3       	7119        	2016-11-13      	0          
驴得水        	2.8        	1399        	2016-11-13      	0          
捉迷藏        	2.2        	1112        	2016-11-13      	0          
夺路而逃       	1.4        	711         	2016-11-13      	0          
邻家大贱谍      	1.2        	611         	2016-11-13      	0          
湄公河行动      	1.0        	499         	2016-11-13      	0          
聊斋新编之画皮新娘  	0.9        	467         	2016-11-13      	0          
其它         	4.5        	2236        	2016-11-13      	0          
奇异博士       	28.6       	12659       	2016-11-13      	1          
比利·林恩的中场战事 	21.3       	9427        	2016-11-13      	1          
航海王之黄金城    	20.9       	9230        	2016-11-13      	1          
外公芳龄38     	14.7       	6511        	2016-11-13      	1          
驴得水        	3.3        	1463        	2016-11-13      	1          
捉迷藏        	2.6        	1170        	2016-11-13      	1          
夺路而逃       	1.3        	591         	2016-11-13      	1          
邻家大贱谍      	1.3        	587         	2016-11-13      	1          
湄公河行动      	1.2        	542         	2016-11-13      	1          
聊斋新编之画皮新娘  	0.8        	371         	2016-11-13      	1          
其它         	3.8        	1698        	2016-11-13      	1          
