mname       	msumboxoffice	mboxoffice	mboxoofficerate	mrowpiecerate	mseatrate	mpiaofangshijian	macquitime	采集时间               
寒战2         	34342        	9498.8    	37.2           	26.0         	31.2     	2016-07-10      	2016-07-11	2016-07-11 21:34:27
大鱼海棠        	26612        	          	               	             	         	2016-07-10      	2016-07-11	2016-07-11 21:34:30
致青春·原来你还在这里 	19758        	          	               	             	         	2016-07-10      	2016-07-11	2016-07-11 21:34:34
忍者神龟2：破影而出  	34370        	1737.1    	6.8            	6.1          	5.7      	2016-07-10      	2016-07-11	2016-07-11 21:34:37
惊天魔盗团2      	61993        	475.2     	1.9            	1.6          	1.2      	2016-07-10      	2016-07-11	2016-07-11 21:34:40
赏金猎人        	20411        	300.7     	1.2            	2.0          	1.2      	2016-07-10      	2016-07-11	2016-07-11 21:34:43
独立日：卷土重来    	49303        	278.3     	1.1            	0.8          	0.6      	2016-07-10      	2016-07-11	2016-07-11 21:34:47
发条城市        	802          	169       	0.7            	3.0          	2.1      	2016-07-10      	2016-07-11	2016-07-11 21:34:50
摇滚藏獒        	2688         	          	               	             	         	2016-07-10      	2016-07-11	2016-07-11 21:34:51
大火种         	742          	          	               	             	         	2016-07-10      	2016-07-11	2016-07-11 21:34:53
海底总动员2：多莉去哪儿	25218        	161.3     	0.6            	0.5          	0.4      	2016-07-10      	2016-07-11	2016-07-11 21:34:56
所以……和黑粉结婚了  	7992         	46.3      	0.2            	0.6          	0.3      	2016-07-10      	2016-07-11	2016-07-11 21:35:00
张震讲故事之合租屋   	303          	57.3      	0.2            	1.6          	1.1      	2016-07-10      	2016-07-11	2016-07-11 21:35:03
南口1937      	120          	5.9       	0.0            	0.0          	0.0      	2016-07-08      	2016-07-11	2016-07-11 21:35:06
三人行         	10006        	7.8       	0.0            	0.1          	0.0      	2016-07-10      	2016-07-11	2016-07-11 21:35:09
丑小鸭历险记      	414          	7.8       	0.0            	0.2          	0.1      	2016-07-10      	2016-07-11	2016-07-11 21:35:13
