"关键词","20170116","20170115","20170114","20170113","20170112","20170111","20170110","20170109","20170108","20170107","20170106","20170105","20170104","20170103","20170102","20170101","20161231","20161230","20161229","20161228","20161227","20161226","20161225","20161224","20161223","20161222","20161221","20161220","20161219","20161218"
"大魔法师孟兜兜","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"缺失的爱","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"蛋计划","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"心惊胆战","1381","474","632","450","518","849","489","945","354","370","423","522","364","427","363","315","309","662","854","463","249","517","439","343","357","530","257","298","278","293"
"降临","9600","7832","7810","9763","10297","17459","29118","15341","7959","11743","15452","9981","16119","9900","13137","12725","14237","14353","13165","12052","8519","10012","14292","70598","14011","20759","13271","12272","20634","18988"
"恐怖快递","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"大卫贝肯之倒霉特工熊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"我的诗篇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"太空旅客","8151","11262","12077","32183","24070","5919","2365","1638","611","1327","11180","1138","528","4900","1049","28582","76134","107557","64948","1904","3266","15397","165","430","2592","121","945","421","335","522"
"魔弦传说","3424","3705","5918","6040","5730","5464","2433","671","292","289","621","490","820","104","51","94","316","173","305","990","92","359","231","695","341","59","107","187","2034","131"
"天空之眼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"辛巴达与美人鱼公主","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"浪漫搭档","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"恐怖理发店","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"我们的青春不怕疼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"一万公里的约定","605","215","144","356","412","397","2177","2864","4109","5041","7771","9937","22126","9070","1114","1392","1536","1487","3197","332","423","604","665","636","178","555","257","496","567","337"
"玩命直播","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"星球大战外传","935","1363","1584","1816","3041","2461","2898","6580","11213","12829","11181","4329","3803","4313","694","965","1720","3508","5989","3807","1907","7795","311","1264","1339","3514","1258","2619","1964","2064"
"有家","11227","11319","16394","13635","14922","17050","16077","29336","55365","49273","11591","16348","7559","11052","11225","16058","12207","17011","11667","12338","5960","6030","6780","6803","7979","6747","7281","6261","8275","8055"
"人鱼校花","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"一路逆风","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"我的朋友圈","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"掠夺者","42","40","29","88","47","36","34","59","40","122","36","60","89","201","115","469","101","166","183","292","507","792","677","735","672","281","1198","4080","8135","2097"
"绝对控制","10","11","11","17","17","10","13","28","15","29","31","32","33","29","46","44","48","110","119","336","599","719","1078","3596","6592","1488","1049","2672","713","50"
"超能龙骑侠","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"北极大冒险","3","2","0","3","1","2","4","3","11","12","28","32","17","162","158","45","46","69","635","382","42","43","5","25","7753","9","3","1","2","1"
"单身日记：好孕来袭","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"名侦探柯南：纯黑的恶梦","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"你好疯子","63","35","65","106","86","70","100","191","393","311","554","1484","3634","4469","2118","4709","2691","4299","21212","1267","2468","362","474","1395","6326","7405","1819","92","69","29"
"猪猪侠之英雄猪少年","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
