关键词,20161206,20161205,20161204,20161203,20161202,20161201,20161130,20161129,20161128,20161127,20161126,20161125,20161124,20161123,20161122,20161121,20161120,20161119,20161118,20161117,20161116,20161115,20161114,20161113,20161112,20161111,20161110,20161109,20161108,20161107
天降恶邻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超级幼儿园,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
难忘金银滩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁道飞虎,37154,23605,28056,23249,25274,11336,21945,6369,16735,8166,5128,8729,17333,15706,17621,19048,31391,10442,4051,1746,4084,12727,25043,20615,1902,1383,2536,8730,4002,1554
悟空圣诞奇遇记,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傻儿夫妻小神郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摆渡人,13470,7791,22352,41885,29534,35706,28201,11581,26559,36900,38930,17302,18736,49938,37059,10049,14148,7241,9050,51879,27545,13649,9412,7571,16489,20034,41293,44626,120057,63210
功夫四侠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五女闹京城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咸鱼传奇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少年,427753,353004,372738,441773,477257,304869,396425,455894,653002,517305,515193,666286,551820,575225,622067,529687,705216,647042,616542,565625,476843,461709,581161,513343,466737,300877,316755,327732,429066,337850
罗曼蒂克消亡史,2162,2177,2720,2052,6568,18699,8546,1460,955,3624,13538,3680,964,1889,714,619,5929,1258,7598,1068,971,2967,180,206,110,10896,240,199,669,6782
长城,1504493,1133379,1411363,1287621,807029,676079,732264,609368,1256750,1381955,1485989,1276098,1235541,1235763,1166574,1204739,1426534,1816343,1540262,1715709,1545720,1775109,1468829,1345547,1338912,1178256,1137613,1182070,1349726,1163441
流金,636,825,673,491,1685,2001,1382,1150,1276,1775,1766,1697,879,687,1152,1193,1120,574,801,1160,1134,1443,1134,1125,796,1291,1923,1554,1150,887
先锋之那时青春,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
球舞青春,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
逗逗迪迪之美梦年年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牡丹仙子之皇帝昭曰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凄灵室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸的3次婚礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呆呆计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反黑行动组,826,762,424,425,246,351,1777,1453,65,7,28,69,21,599,9,240,18,5,101,11,866,23,134,19,12,46,13,77,0,0
那年夏天你去了哪里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少年巴比伦,123,144,339,567,854,6577,22,74,8,12,15,18,21,50,19,28,21,17,34,36,49,74,37,25,30,19,38,36,50,442
塔洛,1019,540,320,327,2386,9258,115,116,145,305,158,240,265,878,453,609,278,213,600,140,207,85,51,68,170,70,52,71,55,174
28岁未成年,34774,11633,6320,7852,20092,20706,18627,41744,34136,32112,16856,11209,7404,22212,2533,2315,1595,1431,3073,6943,8843,32154,5256,1282,1543,3708,990,2220,1315,301
萨利机长,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纯洁心灵·逐梦演艺圈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血战钢锯岭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
试睡员48小时,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锅是铁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东宫皇子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老腔,48,79,135,115,201,884,97,51,57,40,35,24,23,52,2702,24,39,51,430,20,29,25,31,23,31,29,17,30,1307,4171
沙漠之心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冒牌卧底,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超级快递,14029,24264,32022,51316,74249,234733,302551,40082,48682,28649,21304,36333,18047,13654,8015,12234,4869,2169,4163,4933,13198,14837,4149,1932,9735,6998,21692,9004,29260,7766
极速之巅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三少爷的剑,23208,12958,13836,19689,29790,19376,12057,6727,4552,1582,1037,2248,2508,4077,890,830,214,540,1640,7020,249,452,139,172,256,253,174,391,209,274
佩小姐的奇幻城堡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你的名字。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱你的人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
间谍同盟,19245,19355,25535,58037,72575,52498,84495,62273,26594,41036,61720,61675,91385,192081,129286,44770,985,2408,6173,8558,1389,19420,27818,1068,182,804,5049,4878,756,105
热土悲歌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
骆驼客2之箭在弦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越囧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏威夷之恋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
怨灵地下室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最萌身高差,1027,4765,2282,1439,4757,6959,5786,3988,8560,4622,8348,15370,12364,9366,8227,12786,6422,3681,5689,7228,9122,7874,7972,4823,6152,6592,2616,2520,3178,9376
冲天火,828,905,6085,3930,932,3198,3853,4109,7375,10141,13743,17826,9060,18780,59905,66334,63279,22401,15701,27931,21565,16923,17737,20332,5926,6865,8395,6580,7939,8037
