ename      	eboxofficesum	eboxofficedaily	eboxofficerate	eday	eacquitime
神奇动物在哪里    	39249        	2214           	47.52         	7   	2016-12-01
间谍同盟       	1659         	695            	14.93         	2   	2016-12-01
海洋奇缘       	11065        	558            	11.98         	7   	2016-12-01
我不是潘金莲     	36307        	486            	10.43         	14  	2016-12-01
冲天火        	3593         	143            	3.08          	7   	2016-12-01
名侦探柯南：纯黑的恶梦	2957         	136            	2.94          	7   	2016-12-01
你的名字。      	128          	128            	2.76          	0   	2016-12-01
奇异博士       	75061        	88             	1.90          	28  	2016-12-01
比利·林恩的中场战事 	15900        	39             	0.84          	21  	2016-12-01
爱你的人       	30           	30             	0.66          	1   	2016-12-01
其它         	             	137            	1.00          	0   	2016-12-01
