yname     	ytheme 	ypaper   	ylove  	yacquitime	采集时间               
赵丽颖       	89540  	17577978 	1171591	2016-11-22	2016-11-22 20:01:13
唐嫣        	116048 	19465654 	1321156	2016-11-22	2016-11-22 20:01:18
angelababy	35959  	2960678  	877340 	2016-11-22	2016-11-22 20:01:22
蒋欣        	17118  	533031   	254633 	2016-11-22	2016-11-22 20:01:26
杨幂        	491963 	36500554 	1974448	2016-11-22	2016-11-22 20:01:30
范冰冰       	186201 	4654479  	850940 	2016-11-22	2016-11-22 20:01:34
刘涛        	183672 	9149102  	891571 	2016-11-22	2016-11-22 20:01:38
陈乔恩       	238010 	15212379 	932770 	2016-11-22	2016-11-22 20:01:43
刘亦菲       	418443 	30253066 	1161188	2016-11-22	2016-11-22 20:01:47
郑爽        	251937 	24012551 	1233381	2016-11-22	2016-11-22 20:01:51
刘诗诗       	255689 	38283573 	2137283	2016-11-22	2016-11-22 20:01:55
赵薇        	499653 	16810157 	643690 	2016-11-22	2016-11-22 20:01:59
林心如       	229093 	14975628 	647615 	2016-11-22	2016-11-22 20:02:04
林心如       	229093 	14975628 	647615 	2016-11-22	2016-11-22 20:02:08
郭碧婷       	16704  	676190   	101747 	2016-11-22	2016-11-22 20:02:12
杨蓉        	16736  	923252   	344054 	2016-11-22	2016-11-22 20:02:16
戚薇        	52880  	3430954  	602490 	2016-11-22	2016-11-22 20:02:20
孙俪        	69451  	2650819  	586708 	2016-11-22	2016-11-22 20:02:25
迪丽热巴      	6216   	729351   	138808 	2016-11-22	2016-11-22 20:02:29
李倩        	39687  	1601583  	143352 	2016-11-22	2016-11-22 20:02:33
颖儿        	10719  	374868   	137603 	2016-11-22	2016-11-22 20:02:37
高圆圆       	63975  	2351521  	653111 	2016-11-22	2016-11-22 20:02:41
袁姗姗       	36733  	6415368  	328139 	2016-11-22	2016-11-22 20:02:45
王丽坤       	12328  	502797   	271803 	2016-11-22	2016-11-22 20:02:50
张钧甯       	14483  	635880   	266979 	2016-11-22	2016-11-22 20:02:54
娄艺潇       	44072  	3281763  	343657 	2016-11-22	2016-11-22 20:02:58
霍思燕       	24530  	736611   	148319 	2016-11-22	2016-11-22 20:03:02
王晓晨       	7458   	404024   	38471  	2016-11-22	2016-11-22 20:03:06
杨紫        	22172  	1170323  	951766 	2016-11-22	2016-11-22 20:03:10
宋茜        	48559  	17265866 	1802920	2016-11-22	2016-11-22 20:03:15
张檬        	25972  	1413921  	639299 	2016-11-22	2016-11-22 20:03:19
谢娜        	101629 	3712274  	783701 	2016-11-22	2016-11-22 20:03:23
张馨予       	4318   	170429   	314257 	2016-11-22	2016-11-22 20:03:27
佟丽娅       	56007  	2077187  	583827 	2016-11-22	2016-11-22 20:03:31
李小璐       	38527  	650989   	284677 	2016-11-22	2016-11-22 20:03:35
陈妍希       	35174  	1486165  	281368 	2016-11-22	2016-11-22 20:03:40
李纯        	2186   	139616   	7174   	2016-11-22	2016-11-22 20:03:44
马苏        	23844  	851802   	104954 	2016-11-22	2016-11-22 20:03:48
毛晓彤       	10721  	441235   	123216 	2016-11-22	2016-11-22 20:03:52
李沁        	26669  	1296057  	280166 	2016-11-22	2016-11-22 20:03:57
宋轶        	3372   	98000    	22522  	2016-11-22	2016-11-22 20:04:01
马思纯       	4944   	133558   	115868 	2016-11-22	2016-11-22 20:04:05
古力娜扎      	15428  	799885   	279564 	2016-11-22	2016-11-22 20:04:09
鲍天琦       	618    	34259    	3909   	2016-11-22	2016-11-22 20:04:13
曾沛慈       	45505  	4550602  	314805 	2016-11-22	2016-11-22 20:04:17
白百何       	4893   	127943   	24331  	2016-11-22	2016-11-22 20:04:22
邓紫棋       	111577 	10432611 	1565082	2016-11-22	2016-11-22 20:04:26
张雪迎       	3789   	182991   	36298  	2016-11-22	2016-11-22 20:04:30
贾青        	38198  	1939708  	1750136	2016-11-22	2016-11-22 20:04:34
陈意涵       	30067  	1126077  	276893 	2016-11-22	2016-11-22 20:04:38
胡冰卿       	7591   	514571   	28812  	2016-11-22	2016-11-22 20:04:43
金晨        	4525   	180149   	22914  	2016-11-22	2016-11-22 20:04:47
袁咏仪       	21120  	225658   	27228  	2016-11-22	2016-11-22 20:04:51
王鸥        	1776   	45236    	8143   	2016-11-22	2016-11-22 20:04:55
舒畅        	157139 	5059961  	331518 	2016-11-22	2016-11-22 20:04:59
韩雪        	66325  	2857265  	268452 	2016-11-22	2016-11-22 20:05:03
吴亦凡       	67553  	13740473 	2016055	2016-11-22	2016-11-22 20:05:08
江疏影       	10941  	325536   	179743 	2016-11-22	2016-11-22 20:05:12
林依晨       	104209 	6524645  	343327 	2016-11-22	2016-11-22 20:05:16
安悦溪       	1881   	65220    	7778   	2016-11-22	2016-11-22 20:05:20
白冰        	32716  	1340802  	146900 	2016-11-22	2016-11-22 20:05:24
赵雅芝       	305378 	9165970  	320155 	2016-11-22	2016-11-22 20:05:29
蔡少芬       	27221  	715099   	32691  	2016-11-22	2016-11-22 20:05:33
张含韵       	399050 	6968638  	278322 	2016-11-22	2016-11-22 20:05:37
安以轩       	220941 	9307930  	320662 	2016-11-22	2016-11-22 20:05:41
姚笛        	26044  	1262543  	276835 	2016-11-22	2016-11-22 20:05:46
蒋依依       	9390   	377570   	105160 	2016-11-22	2016-11-22 20:05:50
宁静        	7668   	120849   	8769   	2016-11-22	2016-11-22 20:05:54
贾静雯       	77449  	2378082  	285934 	2016-11-22	2016-11-22 20:05:58
许晴        	16475  	504480   	21136  	2016-11-22	2016-11-22 20:06:02
马伊琍       	8860   	187761   	246543 	2016-11-22	2016-11-22 20:06:07
王珞丹       	50009  	1307998  	163224 	2016-11-22	2016-11-22 20:06:11
王珞丹       	50009  	1307998  	163224 	2016-11-22	2016-11-22 20:06:15
张鲁一       	12013  	206157   	48968  	2016-11-22	2016-11-22 20:06:19
孙耀琦       	6751   	217043   	26026  	2016-11-22	2016-11-22 20:06:23
赵奕欢       	83185  	4675886  	332454 	2016-11-22	2016-11-22 20:06:28
佘诗曼       	120335 	21249058 	239211 	2016-11-22	2016-11-22 20:06:32
张韶涵       	818554 	24542572 	660444 	2016-11-22	2016-11-22 20:06:36
宋佳        	7811   	162705   	39854  	2016-11-22	2016-11-22 20:06:40
林青霞       	46478  	1544842  	267873 	2016-11-22	2016-11-22 20:06:44
阚清子       	7782   	300728   	137448 	2016-11-22	2016-11-22 20:06:48
米露        	3300   	66990    	7993   	2016-11-22	2016-11-22 20:06:53
曹曦月       	1777   	40464    	2884   	2016-11-22	2016-11-22 20:06:57
钟嘉欣       	26366  	1208760  	251760 	2016-11-22	2016-11-22 20:07:01
穆婷婷       	18818  	1885916  	244640 	2016-11-22	2016-11-22 20:07:05
吴映洁       	41398  	2734175  	561040 	2016-11-22	2016-11-22 20:07:09
苗圃        	14593  	600228   	129985 	2016-11-22	2016-11-22 20:07:14
张歆艺       	16947  	426622   	153426 	2016-11-22	2016-11-22 20:07:18
闫妮        	59616  	2134483  	264700 	2016-11-22	2016-11-22 20:07:22
刘芊含       	1968   	38501    	1937   	2016-11-22	2016-11-22 20:07:27
徐璐        	935    	23499    	12385  	2016-11-22	2016-11-22 20:07:31
谭松韵       	3135   	101301   	24835  	2016-11-22	2016-11-22 20:07:35
甘婷婷       	13147  	242740   	137296 	2016-11-22	2016-11-22 20:07:39
杨丞琳       	324675 	13647189 	338428 	2016-11-22	2016-11-22 20:07:44
李冰冰       	32192  	812082   	245739 	2016-11-22	2016-11-22 20:07:48
姚晨        	41180  	698414   	150855 	2016-11-22	2016-11-22 20:07:52
王心凌       	727002 	19710213 	346138 	2016-11-22	2016-11-22 20:07:56
左小青       	3320   	48498    	5208   	2016-11-22	2016-11-22 20:08:01
刘晓洁       	4122   	131037   	7648   	2016-11-22	2016-11-22 20:08:05
郭珍霓       	8274   	225067   	23274  	2016-11-22	2016-11-22 20:08:09
董洁        	       	1049866  	477668 	2016-11-22	2016-11-22 20:08:13
徐翠翠       	431    	14641    	857    	2016-11-22	2016-11-22 20:08:17
宣萱        	52975  	2474762  	259354 	2016-11-22	2016-11-22 20:08:22
李晟        	32256  	3933152  	266756 	2016-11-22	2016-11-22 20:08:26
王力可       	2220   	35289    	2337   	2016-11-22	2016-11-22 20:08:30
李小冉       	13121  	335730   	18983  	2016-11-22	2016-11-22 20:08:34
陈数        	18851  	478615   	138111 	2016-11-22	2016-11-22 20:08:38
朱丹        	15864  	322342   	145111 	2016-11-22	2016-11-22 20:08:43
周海媚       	13528  	174376   	20399  	2016-11-22	2016-11-22 20:08:47
田馥甄       	369696 	17549791 	622305 	2016-11-22	2016-11-22 20:08:51
