ytitle                         	首贴提要                                                                  	发帖人           	回复数  	ysendtime	yacquitime         	采集日期               
哪些帖子能让圈吧更好，哪些帖子能害了圈吧，手把手科普一下   	                                                                      	              	394  	21:24    	2016-11-24 21:24:34	2016-11-24 21:24:34
#金马奖预测#第五十三届金马奖颁奖礼直播楼and预测     	                                                                      	              	228  	21:24    	2016-11-24 21:24:35	2016-11-24 21:24:35
【票房直播组】通缉令！现通缉有意加入票房直播组的吧友萌！   	                                                                      	              	202  	21:24    	2016-11-24 21:24:35	2016-11-24 21:24:35
【11.24票房直播】金莲独秀 勇士直追 深海战士齐头并进。 	                                                                      	              	102  	21:24    	2016-11-24 21:24:35	2016-11-24 21:24:35
赵丽颖登报马来西亚，“傻白甜”跨界变霸道总裁备受关注。    	网友纷纷表示，赵丽颖是最萌BOSS。赵丽颖本人发微博表示自己是不霸道总裁。                                 	淡淡啲緈褔         	26   	21:24    	2016-11-24 21:24:35	2016-11-24 21:24:35
几大网络播放总量惊人的电视剧                 	第一名：芈月传 238亿，第二名：花千骨195亿，第三名：武媚娘传奇 129亿，第四名：琅琊榜111亿，第5名：              	何羽飞2046       	185  	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
哈哈哈郑爽家年底大戏开唱，收视率期待爆表           	12月份郑爽家主题是：年底结婚加退圈哟！ 制作人：无名氏 出品方：搜糊渣浪 宣传方：八卦营销号 主演                    	sphwang123456 	237  	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
韩雪拍这么多年的戏，没想到还会被防爆。            	这算什么鬼爆料，用这么下作的手段对付韩雪。宣传几乎都不怎么带韩雪，这样也要被有些粉丝防爆，不                        	一瞬间就爱上你       	34   	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
暗处生光 于心理深处遇见最好的米楠              	什么是善什么是恶，唯有黑暗中才能看到光的精彩，拒绝灰色地带，以冷静判断善恶真理，探寻蛛丝马迹                        	阿樽儿的小裤衩       	200  	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
找亮点！！！！                        	大声告诉我看见什么了！                                                           	星空距离          	78   	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
果然，没有对比就没有伤害。我之前觉得东平王长相一般来着。   	                                                                      	QINGXIANZHEJIG	79   	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
邓超阮经天刘诗诗主演电影《心理罪之城市之光》剧照来袭，暗处生光	                                                                      	恋空03          	58   	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
今年发展最稳的是唐嫣，爆发度最高的是赵丽颖，同感吗      	总裁和糖糖镇楼                                                               	_北城南笙_        	435  	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
圈内人士爆料，凰权初定女主电影咖搭陈坤，陈道明        	确定演皇帝，导演确定沈严 ，陈坤林申影业参与投资，                                             	天龙喔喔          	20968	21:24    	2016-11-24 21:24:36	2016-11-24 21:24:36
你们觉得《美人为馅》的男主白宇会红吗             	                                                                      	蛋蛋的忧桑我去       	152  	21:24    	2016-11-24 21:24:37	2016-11-24 21:24:37
【石锤】开扒刘恺威“出轨门“背后的真面目以及卓伟的步步为营~ 	视频恶意剪辑、加帧、马赛克？非法安装固定隐蔽偷拍设备？关灯读荧光剧本？穿着内裤对剧本？当着全                        	千代枫的帅         	2465 	21:24    	2016-11-24 21:24:37	2016-11-24 21:24:37
没想到限韩令因我而起                     	我一句话竟能改变国运，罪过啊罪过                                                      	草榴kqvodfe     	413  	21:24    	2016-11-24 21:24:37	2016-11-24 21:24:37
心理罪之城市之光                       	#心理罪之城市之光# #刘诗诗心理罪之城市之光# 刘诗诗强势回归大荧幕，主演心理罪之城市之光，饰演自                    	淮淮洛枳          	9    	21:24    	2016-11-24 21:24:37	2016-11-24 21:24:37
钟汉良孤芳不自赏明天要发首款片花啦！             	明天十点，首款片花终于要来了，好期待啊！                                                  	花开不败无人爱       	78   	21:24    	2016-11-24 21:24:38	2016-11-24 21:24:38
