时间        	zname       	zboxofficedaily	zboxofficesum	zsession	zperson	zofficesale	zofficerate	zinternetsale	zinternetrate	zrealtimeboxoffice	zestimatedboxoffice	zacqutime 
2016-11-13	奇异博士        	4694           	56573        	41753   	1335563	799        	17.01      	3895         	82.99        	11135             	12026              	2016-11-13
2016-11-13	比利·林恩的中场战事  	2236           	7919         	31896   	562821 	399        	17.84      	1837         	82.16        	11135             	12026              	2016-11-13
2016-11-13	航海王之黄金城     	1805           	6828         	35844   	664720 	296        	16.42      	1508         	83.58        	11135             	12026              	2016-11-13
2016-11-13	外公芳龄38      	1025           	3403         	21513   	389913 	234        	22.82      	791          	77.18        	11135             	12026              	2016-11-13
2016-11-13	驴得水         	379            	16247        	5134    	120102 	66         	17.34      	313          	82.66        	11135             	12026              	2016-11-13
2016-11-13	捉迷藏         	204            	6639         	4323    	65294  	30         	14.75      	174          	85.25        	11135             	12026              	2016-11-13
2016-11-13	魔发精灵        	183            	5106         	2773    	58502  	55         	30.16      	128          	69.84        	11135             	12026              	2016-11-13
2016-11-13	蜡笔小新：梦境世界大突击	105            	2101         	2742    	40385  	30         	28.5       	75           	71.5         	11135             	12026              	2016-11-13
2016-11-13	湄公河行动       	104            	117771       	2085    	39988  	24         	23.4       	80           	76.6         	11135             	12026              	2016-11-13
2016-11-13	邻家大贱谍       	78             	1094         	2247    	25293  	18         	22.83      	60           	77.17        	11135             	12026              	2016-11-13
